2003,0.13,0.93,-0.86,-1.01,1.63,2.13,2.28,2.42,2.77,-0.34,-0.12,-0.53
2004,-0.96,-0.11,-0.33,-0.53,-0.65,0.84,1.27,1.83,2.16,2.42,3.02,3.43
2005,-0.56,-0.54,-1.16,-0.78,-1.39,0.48,0.75,1.16,-0.01,-0.84,-0.94,-0.89
2006,-0.52,-0.96,-1.72,-1.56,-1.38,-1.66,-2.30,-2.59,-2.30,-1.65,-1.30,-1.51
2007,-1.77,-2.27,-3.40,-3.33,-3.88,-4.26,-3.68,-4.16,-4.27,-3.90,-3.82,-4.11
2008,-4.30,-4.06,-3.94,-3.59,-2.35,-2.56,-2.79,-2.04,-2.61,-2.28,-2.39,1.26
2009,0.86,0.32,0.18,0.32,1.57,1.05,1.72,1.82,3.10,4.78,-0.45,-0.08
2010,-0.06,-0.40,-0.67,-1.27,-0.77,-0.75,-1.04,-1.39,-1.81,-1.36,-0.87,-1.40
2011,-1.30,-2.00,0.64,2.10,1.50,1.72,1.13,0.97,1.73,1.29,1.30,1.48
2012,1.89,-0.54,-1.27,-2.05,-2.31,-2.63,0.38,0.62,1.25,1.57,0.76,0.80
2013,1.41,0.75,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
